"85","2018-05-15 21:10:31","4","24","938","10","221.164.141.187"
"86","2018-05-15 21:12:31","4","24","934","10","221.164.141.187"
"87","2018-05-15 21:13:31","3","24","936","11","221.164.141.187"
"88","2018-05-15 21:14:31","4","24","940","10","221.164.141.187"
"89","2018-05-15 21:16:31","4","24","852","10","221.164.141.187"
"90","2018-05-15 21:17:31","4","25","830","10","221.164.141.187"
"91","2018-05-15 21:18:31","4","25","832","10","221.164.141.187"
"92","2018-05-15 21:19:31","4","24","832","10","221.164.141.187"
"93","2018-05-15 21:20:31","4","24","837","10","221.164.141.187"
"94","2018-05-15 21:21:31","4","24","836","11","221.164.141.187"
"95","2018-05-15 21:22:31","4","24","903","10","221.164.141.187"
"96","2018-05-15 21:23:31","4","24","899","10","221.164.141.187"
"97","2018-05-15 21:24:31","4","24","877","10","221.164.141.187"
"98","2018-05-15 21:25:31","4","24","875","10","221.164.141.187"
"99","2018-05-15 21:26:30","4","24","883","10","221.164.141.187"
"100","2018-05-15 21:27:31","4","24","893","10","221.164.141.187"
"101","2018-05-15 21:28:31","4","25","890","11","221.164.141.187"
"102","2018-05-15 21:29:31","4","24","883","11","221.164.141.187"
"103","2018-05-15 21:30:31","4","24","848","10","221.164.141.187"
"104","2018-05-15 21:31:30","4","24","856","10","221.164.141.187"
"105","2018-05-15 21:32:30","3","24","854","10","221.164.141.187"
"106","2018-05-15 21:33:31","3","24","846","11","221.164.141.187"
"107","2018-05-15 21:34:30","4","24","838","10","221.164.141.187"
"108","2018-05-15 21:35:31","4","24","851","10","221.164.141.187"
"109","2018-05-15 21:36:30","3","24","850","10","221.164.141.187"
"110","2018-05-15 21:37:31","4","24","914","10","221.164.141.187"
"111","2018-05-15 21:38:31","4","24","953","11","221.164.141.187"
"112","2018-05-15 21:39:31","4","25","955","11","221.164.141.187"
"113","2018-05-15 21:40:30","3","24","822","11","221.164.141.187"
"114","2018-05-15 21:41:30","3","24","812","10","221.164.141.187"
"115","2018-05-15 21:42:30","4","24","828","11","221.164.141.187"
"116","2018-05-15 21:43:30","5","24","825","11","221.164.141.187"
"117","2018-05-15 21:44:30","4","24","827","11","221.164.141.187"
"118","2018-05-15 21:45:30","4","24","830","11","221.164.141.187"
"119","2018-05-15 21:46:30","3","24","837","11","221.164.141.187"
"120","2018-05-15 21:47:30","4","24","848","11","221.164.141.187"
"121","2018-05-15 21:48:30","4","25","851","11","221.164.141.187"
"311","2018-05-16 18:48:40","3","23","633","10","222.104.209.193"
"312","2018-05-16 18:49:40","3","24","632","10","222.104.209.193"
"313","2018-05-16 18:50:40","3","23","634","10","222.104.209.193"
"314","2018-05-16 18:52:39","3","24","627","10","222.104.209.193"
